query,size,stream,streams,parallelism,measurement
q17,100,1,1,3,123.54489803314209
q30,100,1,1,3,6.713193893432617
q11,100,1,1,3,29.4213969707489
q79,100,1,1,3,30.45610499382019
q34,100,1,1,3,17.813143968582153
q76,100,1,1,3,7.910392999649048
q39,100,1,1,3,33.46456503868103
q74,100,1,1,3,7.197669982910156
q73,100,1,1,3,12.062003135681152
q71,100,1,1,3,22.374267101287842
q29,100,1,1,3,127.13117289543152
q31,100,1,1,3,35.644980907440186
q83,100,1,1,3,12.409687995910645
q81,100,1,1,3,5.084478855133057
q85,100,1,1,3,21.65819001197815
q89,100,1,1,3,17.484004020690918
q46,100,2,1,3,19.469707012176514
q42,100,2,1,3,11.129930973052979
q43,100,2,1,3,16.135198831558228
q78,100,2,1,3,22.134686946868896
q68,100,2,1,3,15.139822006225586
q25,100,2,1,3,140.0434000492096
q26,100,2,1,3,17.21416187286377
q29,100,2,1,3,131.33552980422974
q65,100,2,1,3,16.51130700111389
q75,100,2,1,3,6.198883056640625e-06
q62,100,2,1,3,6.649697780609131
q63,100,2,1,3,21.144098043441772
q1,100,2,1,3,8.425392866134644
q3,100,2,1,3,10.26680588722229
q2,100,2,1,3,22.096483945846558
q4,100,2,1,3,31.805361032485962
q7,100,2,1,3,33.374582052230835
q19,100,2,1,3,18.6758291721344
q50,100,2,1,3,17.144071102142334
q53,100,2,1,3,22.324541807174683
q52,100,2,1,3,11.313133955001831
q99,100,2,1,3,17.13793110847473
q59,100,2,1,3,33.15806603431702
q91,100,2,1,3,4.439378976821899
q96,100,2,1,3,13.262598037719727
q55,100,2,1,3,12.417251110076904
q93,100,2,1,3,47.607053995132446
q15,100,2,1,3,8.711318969726562
q31,100,2,1,3,25.438363075256348
q30,100,2,1,3,4.908718824386597
q11,100,2,1,3,22.281401872634888
q79,100,2,1,3,33.5713849067688
q34,100,2,1,3,12.857592105865479
q76,100,2,1,3,31.31199598312378
q39,100,2,1,3,58.594330072402954
q74,100,2,1,3,13.343612909317017
q73,100,2,1,3,26.62782382965088
q71,100,2,1,3,29.021183013916016
q17,100,2,1,3,147.32383704185486
q83,100,2,1,3,13.047498941421509
q81,100,2,1,3,4.362097978591919
q85,100,2,1,3,18.637013912200928
q89,100,2,1,3,12.30063796043396
q46,100,0,1,4,39.70482397079468
q42,100,0,1,4,20.0483500957489
q43,100,0,1,4,40.88453698158264
q78,100,0,1,4,41.899641036987305
q68,100,0,1,4,12.43449592590332
q25,100,0,1,4,184.40798497200012
q26,100,0,1,4,18.030937910079956
q65,100,0,1,4,25.736725091934204
q29,100,0,1,4,185.10396194458008
q75,100,0,1,4,6.9141387939453125e-06
q62,100,0,1,4,10.63112497329712
q63,100,0,1,4,27.362475156784058
q1,100,0,1,4,8.277413845062256
q3,100,0,1,4,21.218436002731323
q2,100,0,1,4,29.40246295928955
q4,100,0,1,4,26.986683130264282
q7,100,0,1,4,47.47773599624634
q19,100,0,1,4,39.590656995773315
q50,100,0,1,4,77.68755292892456
q53,100,0,1,4,14.158551931381226
q52,100,0,1,4,14.115192890167236
q99,100,0,1,4,5.385987043380737
q59,100,0,1,4,53.39815902709961
q91,100,0,1,4,5.225908041000366
q96,100,0,1,4,22.138039112091064
q55,100,0,1,4,12.122435808181763
q93,100,0,1,4,70.16279602050781
q15,100,0,1,4,11.22850489616394
q31,100,0,1,4,33.1567599773407
q30,100,0,1,4,9.802608966827393
q11,100,0,1,4,24.272395849227905
q79,100,0,1,4,12.605857849121094
q34,100,0,1,4,26.214176893234253
q76,100,0,1,4,7.681727170944214
q39,100,0,1,4,65.08874702453613
q74,100,0,1,4,15.564839839935303
q73,100,0,1,4,22.788362979888916
q71,100,0,1,4,30.98339080810547
q17,100,0,1,4,176.47874188423157
q83,100,0,1,4,6.177423000335693
q81,100,0,1,4,6.0052971839904785
q85,100,0,1,4,20.65494179725647
q89,100,0,1,4,30.157692909240723
q46,100,1,1,4,43.09024000167847
q42,100,1,1,4,12.595216989517212
q43,100,1,1,4,26.37605595588684
q78,100,1,1,4,49.52422213554382
q68,100,1,1,4,18.897057056427002
q25,100,1,1,4,165.26624703407288
q26,100,1,1,4,21.99963903427124
q65,100,1,1,4,28.34448003768921
q55,100,1,1,4,19.281352996826172
q75,100,1,1,4,5.9604644775390625e-06
q62,100,1,1,4,11.399868965148926
q63,100,1,1,4,27.745869874954224
q1,100,1,1,4,9.776159048080444
q3,100,1,1,4,17.654648065567017
q2,100,1,1,4,28.780729055404663
q4,100,1,1,4,33.65246891975403
q7,100,1,1,4,51.9476318359375
q19,100,1,1,4,35.00718593597412
q50,100,1,1,4,79.53244805335999
q53,100,1,1,4,37.146751165390015
q52,100,1,1,4,17.01874303817749
q99,100,1,1,4,20.387551069259644
q59,100,1,1,4,45.37114906311035
q96,100,1,1,4,19.768753051757812
q91,100,1,1,4,8.000294923782349
q93,100,1,1,4,78.36486792564392
q15,100,1,1,4,18.244852781295776
q17,100,1,1,4,70.05185103416443
q30,100,1,1,4,7.975215911865234
q11,100,1,1,4,39.290688037872314
q79,100,1,1,4,34.27658009529114
q34,100,1,1,4,19.909709930419922
q76,100,1,1,4,39.41210699081421
q39,100,1,1,4,47.18761205673218
q74,100,1,1,4,12.489568948745728
q73,100,1,1,4,17.258566856384277
q71,100,1,1,4,28.712301015853882
q29,100,1,1,4,125.56238389015198
q31,100,1,1,4,25.074153900146484
q83,100,1,1,4,17.605463981628418
q81,100,1,1,4,12.797667026519775
q85,100,1,1,4,24.877047061920166
q89,100,1,1,4,20.978312015533447
q46,100,2,1,4,46.1419780254364
q42,100,2,1,4,14.572783946990967
q43,100,2,1,4,26.044430017471313
q78,100,2,1,4,26.655619859695435
q68,100,2,1,4,44.52551078796387
q25,100,2,1,4,71.68492293357849
q26,100,2,1,4,28.26987099647522
q29,100,2,1,4,143.13508009910583
q65,100,2,1,4,31.06941795349121
q75,100,2,1,4,5.9604644775390625e-06
q62,100,2,1,4,11.9690260887146
q63,100,2,1,4,31.966078996658325
q1,100,2,1,4,18.87370991706848
q3,100,2,1,4,18.787446975708008
q2,100,2,1,4,26.21769618988037
q4,100,2,1,4,30.09348201751709
